Food Name,Calories (kcal),Carbohydrates (g),Protein (g),Serving Size (g),Recommended Meal Time
Aloo Gobi,142,15,3,100 g,Lunch/Dinner
Aloo Tikki,327,37,6,100 g,Snack
Baingan Bharta,175,11,2,100 g,Lunch/Dinner
Bhindi Masala,117,10,2,100 g,Lunch/Dinner
Biryani,265,27,4,100 g,Lunch/Dinner
Butter Chicken,286,6,23,100 g,Lunch/Dinner
Chana Masala,163,22,6,100 g,Lunch/Dinner
Chapati,70,15,2,1 piece,Lunch/Dinner
Chicken Curry,195,2,16,100 g,Lunch/Dinner
Chicken Tikka Masala,260,7,22,100 g,Lunch/Dinner
Chole Bhature,450,53,12,1 plate,Breakfast/Lunch
Coconut Chutney,132,2,2,100 g,Snack/Lunch/Dinner
Dahi Bhalla,130,20,5,1 piece,Snack
Dal Fry,171,17,7,100 g,Lunch/Dinner
Dal Makhani,260,29,10,100 g,Lunch/Dinner
Dosa,133,23,2,1 piece,Breakfast/Lunch
Gajar Halwa,265,32,3,100 g,Snack/Dessert
Gulab Jamun,125,14,2,1 piece,Dessert
Idli,39,8,2,1 piece,Breakfast/Lunch
Jeera Rice,160,31,3,100 g,Lunch/Dinner
Kachori,220,22,6,1 piece,Breakfast/Snack
Kadai Paneer,230,12,8,100 g,Lunch/Dinner
Kheer,190,31,4,100 g,Dessert
Kulfi,110,14,3,1 stick,Snack/Dessert
Lassi,100,12,4,200 g,Snack/Lunch
Mango Pickle,13,2,0,10 g,Snack/Lunch/Dinner
Masala Chai,52,4,2,100 g,Breakfast/Snack
Matar Paneer,259,17,12,100 g,Lunch/Dinner
Medu Vada,92,10,3,1 piece,Breakfast/Snack
Misal Pav,250,30,12,1 plate,Breakfast/Lunch
Murukku,486,66,6,100 g,Snack
Naan,317,46,8,1 piece,Lunch/Dinner
Onion Pakora,200,12,4,100 g,Snack
Palak Paneer,200,8,8,100 g,Lunch/Dinner
Papadum,60,10,2,1 piece,Snack/Lunch/Dinner
Pav Bhaji,180,25,5,1 plate,Breakfast/Lunch
Puri,101,15,2,1 piece,Breakfast/Lunch
Rajma,143,22,9,100 g,Lunch/Dinner
Raita,67,5,3,100 g,Lunch/Dinner
Aloo Bhujia,547,45,6,100 g,Snack
Aloo Tikki,327,37,6,100 g,Snack
Bhel Puri,180,35,5,100 g,Snack
Biscuits,502,72,6,100 g,Snack
Bombay Mix,589,47,8,100 g,Snack
Bread Pakora,298,28,8,1 piece,Snack
Butter Naan,332,44,7,1 piece,Snack
